fname,label_level_0,class_level_0,label_level_1,class_level_1,label_level_2,class_level_2,bbox_x1,bbox_y1,bbox_x2,bbox_y2
000001.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,112,7,853,717
000002.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,48,24,441,202
000003.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,7,4,277,180
000004.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,33,50,197,150
000005.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,5,8,83,58
000006.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,10,6,250,110
000007.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,56,1,394,176
000008.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,1,13,113,83
000009.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,15,111,271,272
000010.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,14,18,148,107
000011.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,5,8,91,59
000012.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,29,18,157,86
000013.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,1,1,300,179
000014.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,9,1,152,103
000015.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,4,15,94,63
000016.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,12,16,117,71
000017.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,1,5,160,89
000018.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,46,84,661,428
000019.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,86,81,371,252
000020.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,26,32,677,418
000021.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,50,127,587,396
000022.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,6,9,124,89
000023.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,52,25,751,507
000024.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,3,23,132,98
000025.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,60,76,593,393
000026.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,21,18,492,316
000027.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,11,31,490,266
000028.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,8,3,135,86
000029.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,30,65,331,199
000030.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,5,14,93,58
000031.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,125,645,1845,1421
000032.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,20,48,385,283
000033.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,51,73,570,426
000034.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,79,469,1537,1198
000035.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,18,18,328,190
000036.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,13,235,2021,1253
000037.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,6,20,123,88
000038.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,26,25,283,157
000039.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,61,98,458,376
000040.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,111,213,907,683
000041.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,178,214,901,658
000042.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,9,14,490,368
000043.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,28,48,663,302
000044.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,4,9,96,88
000045.jpg,SUV,10,AM General SUV,3,AM General Hummer SUV 2000,0,6,7,94,68
000090.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,434,441,1805,1126
000091.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,104,183,842,608
000092.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,7,133,716,444
000093.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,8,29,444,213
000094.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,150,102,877,444
000095.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,139,416,1954,1149
000096.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,2,24,288,129
000097.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,115,63,817,324
000098.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,84,189,573,376
000099.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,13,256,769,532
000100.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,30,16,430,215
000101.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,32,32,438,394
000102.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,16,115,445,269
000103.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,34,53,270,139
000104.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,179,177,753,452
000105.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,68,93,440,317
000106.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,139,172,690,431
000107.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,60,166,614,425
000108.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,8,37,294,150
000109.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,36,40,261,174
000110.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,130,10,839,346
000111.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,23,134,619,349
000112.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,45,22,745,514
000113.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,10,34,242,126
000114.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,18,63,445,267
000115.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,56,95,627,368
000116.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,73,163,674,401
000117.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,97,49,455,326
000118.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,45,68,426,253
000119.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,20,16,449,300
000120.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,38,92,420,241
000121.jpg,Sedan,9,Acura Sedan,1,Acura RL Sedan 2012,1,18,141,603,367
000154.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,29,75,271,168
000155.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,13,35,250,153
000156.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,10,24,254,158
000157.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,10,86,614,383
000158.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,36,116,868,587
000159.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,57,236,881,569
000160.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,147,125,471,426
000161.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,18,84,478,307
000162.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,47,100,605,371
000163.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,131,124,537,329
000164.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,33,115,576,346
000165.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,108,201,706,429
000166.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,48,41,511,237
000167.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,83,93,686,425
000168.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,37,77,582,342
000169.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,25,55,277,150
000170.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,13,115,787,440
000171.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,55,95,563,320
000172.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,52,46,487,247
000173.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,60,91,588,373
000174.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,8,80,250,184
000175.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,47,154,598,369
000176.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,26,49,477,288
000177.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,189,174,800,542
000178.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,147,202,1066,629
000179.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,35,12,448,331
000180.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,54,107,543,344
000181.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,1,66,619,339
000182.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,178,424,1828,1090
000183.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,14,84,627,398
000184.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,3,47,296,183
000185.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,28,34,297,182
000186.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,79,84,528,327
000187.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,15,14,278,171
000188.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,22,101,380,235
000189.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,1,1,1484,900
000190.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,51,57,590,402
000191.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,71,192,594,465
000192.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,283,298,1405,979
000193.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,15,9,468,408
000194.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,373,56,2663,1915
000195.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,14,67,482,302
000196.jpg,Sedan,9,Acura Sedan,1,Acura TL Sedan 2012,2,84,13,562,311
000240.jpg,Sedan,9,Acura Sedan,1,Acura TL Type-S 2008,3,147,215,1468,786
000241.jpg,Sedan,9,Acura Sedan,1,Acura TL Type-S 2008,3,24,341,1001,696
000242.jpg,Sedan,9,Acura Sedan,1,Acura TL Type-S 2008,3,30,26,589,373
000243.jpg,Sedan,9,Acura Sedan,1,Acura TL Type-S 2008,3,57,50,388,218
000244.jpg,Sedan,9,Acura Sedan,1,Acura TL Type-S 2008,3,58,146,943,553
000245.jpg,Sedan,9,Acura Sedan,1,Acura TL Type-S 2008,3,45,79,795,507
000246.jpg,Sedan,9,Acura Sedan,1,Acura TL Type-S 2008,3,66,277,932,564
000247.jpg,Sedan,9,Acura Sedan,1,Acura TL Type-S 2008,3,62,220,992,667
000248.jpg,Sedan,9,Acura Sedan,1,Acura TL Type-S 2008,3,62,149,560,323
000249.jpg,Sedan,9,Acura Sedan,1,Acura TL Type-S 2008,3,30,152,602,421
000250.jpg,Sedan,9,Acura Sedan,1,Acura TL Type-S 2008,3,51,71,588,375
000251.jpg,Sedan,9,Acura Sedan,1,Acura TL Type-S 2008,3,18,69,485,260
